1|1|actor|Andy Dufresne
1|2|actor|Ellis Boyd 'Red' Redding
1|3|actor|Warden Norton
1|4|actor|Heywood
1|5|actor|Captain Hadley
2|6|actor|Arthur Fleck
2|7|actor|Murray Franklin
2|8|actor|Sophie Dumond
2|9|actor|Penny Fleck
2|10|actor|Gene Ufland
3|11|actor|Don Vito Corleone
3|12|actor|Michael Corleone
3|13|actor|Sonny Corleone
3|14|actor|Clemenza
3|15|actor|Tom Hagen
3|16|actor|Capt. McCluskey
3|17|actor|Jack Woltz
3|18|actor|Barzini
3|19|actor|Kay
4|12|actor|Michael Corleone
4|15|actor|Tom Hagen
4|19|actor|Kay
4|7|actor|Vito Corleone
2|24|director|null
1|25|director|null
3|23|director|null
4|23|director|null
