Tim Robbins|1958-10-16
Morgan Freeman|1937-06-01
Bob Gunton|1945-11-15
William Slater|1950-04-13
Clancy Brown|1959-01-05
Joaquin Phoenix|1974-10-28
Robert De Niro|1943-08-17
Zazie Beetz|1991-05-25
Frances Conroy|1953-03-15
Marc Maron|1963-09-27
Marlon Brando|1924-04-03
Al Pacino|1940-25-04
James Cann|1940-03-26
Richard S. Castellano|1933-09-04
Robert Duvall|1931-01-05
Sterling Hayden|1916-03-26
John Marley|1907-10-17
Richard Conte|1910-03-24
Diane Keaton|1946-01-05
Leonardo DiCaprio|1974-11-11
Matt Damon|1970-10-08
Martin Scorsese|1942-11-17
Francis Ford Coppola|1939-04-07
Todd Phillips|1970-12-20
Frank Darabont|1959-01-28
