Predictor, "Table Entries", "Trace File", "Total Traces", "Correct", "Correct %", "Incorrect", "Incorrect %", "Runtime (s)"
CS4202_P2::AlwaysTruePredictor, "", bwaves.out, 15105617, 9582022, 0.634335, 5523595, 0.365665, 1.218668
CS4202_P2::TwoBitPredictor, 512, bwaves.out, 15105617, 15071195, 0.997721, 34422, 0.002279, 1.710795
CS4202_P2::GSharePredictor, 512, bwaves.out, 15105617, 14705489, 0.973511, 400128, 0.026489, 2.099428
CS4202_P2::TwoBitPredictor, 512, bwaves.out, 15105517, 15071126, 0.997723, 34391, 0.002277, 1.711733
CS4202_P2::GSharePredictor, 512, bwaves.out, 15105517, 14705429, 0.973514, 400088, 0.026486, 2.055466
CS4202_P2::TwoBitPredictor, 512, bwaves.out, 15105117, 15070748, 0.997725, 34369, 0.002275, 1.720716
CS4202_P2::GSharePredictor, 512, bwaves.out, 15105117, 14705064, 0.973515, 400053, 0.026485, 2.059167
CS4202_P2::TwoBitPredictor, 512, bwaves.out, 15104617, 15070326, 0.997730, 34291, 0.002270, 1.716877
CS4202_P2::GSharePredictor, 512, bwaves.out, 15104617, 14704641, 0.973520, 399976, 0.026480, 2.098316
CS4202_P2::TwoBitPredictor, 512, bwaves.out, 15103617, 15069429, 0.997736, 34188, 0.002264, 1.716524
CS4202_P2::GSharePredictor, 512, bwaves.out, 15103617, 14703715, 0.973523, 399902, 0.026477, 2.068669
CS4202_P2::TwoBitPredictor, 512, bwaves.out, 15100617, 15067152, 0.997784, 33465, 0.002216, 1.716898
CS4202_P2::GSharePredictor, 512, bwaves.out, 15100617, 14701637, 0.973579, 398980, 0.026421, 2.055343
CS4202_P2::TwoBitPredictor, 512, bwaves.out, 15095617, 15063073, 0.997844, 32544, 0.002156, 1.724005
CS4202_P2::GSharePredictor, 512, bwaves.out, 15095617, 14698115, 0.973668, 397502, 0.026332, 2.063556
CS4202_P2::TwoBitPredictor, 512, bwaves.out, 15085617, 15053894, 0.997897, 31723, 0.002103, 1.722322
CS4202_P2::GSharePredictor, 512, bwaves.out, 15085617, 14689512, 0.973743, 396105, 0.026257, 2.067855
CS4202_P2::TwoBitPredictor, 1024, bwaves.out, 15105617, 15072937, 0.997837, 32680, 0.002163, 1.717567
CS4202_P2::GSharePredictor, 1024, bwaves.out, 15105617, 14706957, 0.973608, 398660, 0.026392, 2.106832
CS4202_P2::TwoBitPredictor, 1024, bwaves.out, 15105517, 15072868, 0.997839, 32649, 0.002161, 1.718963
CS4202_P2::GSharePredictor, 1024, bwaves.out, 15105517, 14706900, 0.973611, 398617, 0.026389, 2.060870
CS4202_P2::TwoBitPredictor, 1024, bwaves.out, 15105117, 15072489, 0.997840, 32628, 0.002160, 1.724427
CS4202_P2::GSharePredictor, 1024, bwaves.out, 15105117, 14706536, 0.973613, 398581, 0.026387, 2.059536
CS4202_P2::TwoBitPredictor, 1024, bwaves.out, 15104617, 15072064, 0.997845, 32553, 0.002155, 1.716825
CS4202_P2::GSharePredictor, 1024, bwaves.out, 15104617, 14706110, 0.973617, 398507, 0.026383, 2.096818
CS4202_P2::TwoBitPredictor, 1024, bwaves.out, 15103617, 15071167, 0.997851, 32450, 0.002148, 1.715001
CS4202_P2::GSharePredictor, 1024, bwaves.out, 15103617, 14705179, 0.973620, 398438, 0.026380, 2.067344
CS4202_P2::TwoBitPredictor, 1024, bwaves.out, 15100617, 15068851, 0.997896, 31766, 0.002104, 1.713131
CS4202_P2::GSharePredictor, 1024, bwaves.out, 15100617, 14703098, 0.973675, 397519, 0.026325, 2.059978
CS4202_P2::TwoBitPredictor, 1024, bwaves.out, 15095617, 15064638, 0.997948, 30979, 0.002052, 1.724051
CS4202_P2::GSharePredictor, 1024, bwaves.out, 15095617, 14699368, 0.973751, 396249, 0.026249, 2.061115
CS4202_P2::TwoBitPredictor, 1024, bwaves.out, 15085617, 15055390, 0.997996, 30227, 0.002004, 1.716314
CS4202_P2::GSharePredictor, 1024, bwaves.out, 15085617, 14690640, 0.973818, 394977, 0.026182, 2.071069
CS4202_P2::TwoBitPredictor, 2048, bwaves.out, 15105617, 15074199, 0.997920, 31418, 0.002080, 1.717547
CS4202_P2::GSharePredictor, 2048, bwaves.out, 15105617, 14708341, 0.973700, 397276, 0.026300, 2.095957
CS4202_P2::TwoBitPredictor, 2048, bwaves.out, 15105517, 15074130, 0.997922, 31387, 0.002078, 1.724928
CS4202_P2::GSharePredictor, 2048, bwaves.out, 15105517, 14708286, 0.973703, 397231, 0.026297, 2.062977
CS4202_P2::TwoBitPredictor, 2048, bwaves.out, 15105117, 15073752, 0.997924, 31365, 0.002076, 1.724517
CS4202_P2::GSharePredictor, 2048, bwaves.out, 15105117, 14707926, 0.973705, 397191, 0.026295, 2.063218
CS4202_P2::TwoBitPredictor, 2048, bwaves.out, 15104617, 15073327, 0.997928, 31290, 0.002072, 1.725326
CS4202_P2::GSharePredictor, 2048, bwaves.out, 15104617, 14707507, 0.973709, 397110, 0.026291, 2.062038
CS4202_P2::TwoBitPredictor, 2048, bwaves.out, 15103617, 15072430, 0.997935, 31187, 0.002065, 1.716749
CS4202_P2::GSharePredictor, 2048, bwaves.out, 15103617, 14706576, 0.973712, 397041, 0.026288, 2.067779
CS4202_P2::TwoBitPredictor, 2048, bwaves.out, 15100617, 15070097, 0.997979, 30520, 0.002021, 1.720080
CS4202_P2::GSharePredictor, 2048, bwaves.out, 15100617, 14704442, 0.973764, 396175, 0.026236, 2.062309
CS4202_P2::TwoBitPredictor, 2048, bwaves.out, 15095617, 15065829, 0.998027, 29788, 0.001973, 1.725299
CS4202_P2::GSharePredictor, 2048, bwaves.out, 15095617, 14700602, 0.973832, 395015, 0.026168, 2.064359
CS4202_P2::TwoBitPredictor, 2048, bwaves.out, 15085617, 15056564, 0.998074, 29053, 0.001926, 1.725576
